Stat_Id,player_id,match_id,goals_scored,minutes_played,fraction_of_total_minutes_played,fraction_of_total_goals_scored
0,36,1719,1,46,0.51,0.07
1,118,1719,0,45,0.5,0.0
2,16,1719,0,45,0.5,0.0
3,218,1719,0,46,0.51,0.0
4,96,1719,1,80,0.89,0.07
5,76,1719,0,45,0.5,0.0
6,116,1719,2,45,0.5,0.13
7,176,1719,0,62,0.69,0.0
8,198,1719,3,88,0.98,0.2
9,158,1719,0,47,0.52,0.0
10,178,1719,0,90,1.0,0.0
11,38,1719,0,47,0.52,0.0
12,56,1719,1,76,0.84,0.07
13,78,1719,3,56,0.62,0.2
14,98,1719,3,79,0.88,0.2
15,196,1719,1,62,0.69,0.07
16,58,1719,0,54,0.6,0.0
17,138,1719,0,90,1.0,0.0
18,136,1719,0,47,0.52,0.0
19,18,1719,0,87,0.97,0.0
20,156,1719,0,90,1.0,0.0
21,216,1719,0,77,0.86,0.0
22,31,412,1,49,0.54,0.11
23,171,412,0,78,0.87,0.0
24,83,412,0,55,0.61,0.0
25,51,412,0,68,0.76,0.0
26,203,412,0,46,0.51,0.0
27,3,412,0,63,0.7,0.0
28,91,412,0,88,0.98,0.0
29,11,412,0,67,0.74,0.0
30,111,412,1,80,0.89,0.11
31,123,412,1,82,0.91,0.11
32,63,412,0,51,0.57,0.0
33,211,412,1,57,0.63,0.11
34,103,412,0,81,0.9,0.0
35,151,412,0,61,0.68,0.0
36,43,412,0,78,0.87,0.0
37,23,412,0,73,0.81,0.0
38,163,412,2,59,0.66,0.22
39,131,412,0,88,0.98,0.0
40,183,412,1,79,0.88,0.11
41,191,412,0,81,0.9,0.0
42,71,412,1,45,0.5,0.11
43,143,412,1,84,0.93,0.11
44,97,1618,2,52,0.58,0.22
45,197,1618,1,64,0.71,0.11
46,77,1618,0,59,0.66,0.0
47,75,1618,0,89,0.99,0.0
48,215,1618,0,63,0.7,0.0
49,57,1618,0,86,0.96,0.0
50,15,1618,1,54,0.6,0.11
51,155,1618,0,89,0.99,0.0
52,117,1618,0,59,0.66,0.0
53,137,1618,1,79,0.88,0.11
54,37,1618,0,55,0.61,0.0
55,115,1618,0,55,0.61,0.0
56,55,1618,0,53,0.59,0.0
57,35,1618,1,89,0.99,0.11
58,217,1618,0,77,0.86,0.0
59,135,1618,0,87,0.97,0.0
60,17,1618,0,54,0.6,0.0
61,195,1618,2,52,0.58,0.22
62,157,1618,0,76,0.84,0.0
63,177,1618,0,49,0.54,0.0
64,175,1618,0,73,0.81,0.0
65,95,1618,1,90,1.0,0.11
66,41,24,1,72,0.8,0.11
67,83,24,0,85,0.94,0.0
68,3,24,0,82,0.91,0.0
69,61,24,0,61,0.68,0.0
70,101,24,0,57,0.63,0.0
71,43,24,0,57,0.63,0.0
72,201,24,0,78,0.87,0.0
73,143,24,0,52,0.58,0.0
74,23,24,1,73,0.81,0.11
75,183,24,1,81,0.9,0.11
76,1,24,0,89,0.99,0.0
77,63,24,0,45,0.5,0.0
78,123,24,1,67,0.74,0.11
79,121,24,3,66,0.73,0.33
80,21,24,0,71,0.79,0.0
81,141,24,0,80,0.89,0.0
82,181,24,0,63,0.7,0.0
83,203,24,0,85,0.94,0.0
84,103,24,0,46,0.51,0.0
85,163,24,0,53,0.59,0.0
86,161,24,0,69,0.77,0.0
87,81,24,2,78,0.87,0.22
88,100,16,1,79,0.88,0.04
89,40,16,0,63,0.7,0.0
90,45,16,3,66,0.73,0.13
91,0,16,3,64,0.71,0.13
92,125,16,3,60,0.67,0.13
93,80,16,0,55,0.61,0.0
94,200,16,1,65,0.72,0.04
95,20,16,1,81,0.9,0.04
96,145,16,1,59,0.66,0.04
97,180,16,0,65,0.72,0.0
98,160,16,0,45,0.5,0.0
99,120,16,1,64,0.71,0.04
100,5,16,1,74,0.82,0.04
101,25,16,0,81,0.9,0.0
102,105,16,0,53,0.59,0.0
103,205,16,2,74,0.82,0.09
104,185,16,0,53,0.59,0.0
105,60,16,2,71,0.79,0.09
106,65,16,1,53,0.59,0.04
107,140,16,3,60,0.67,0.13
108,165,16,0,86,0.96,0.0
109,85,16,0,83,0.92,0.0
110,200,14,0,61,0.68,0.0
111,20,14,0,48,0.53,0.0
112,123,14,0,55,0.61,0.0
113,40,14,1,70,0.78,0.1
114,60,14,0,77,0.86,0.0
115,103,14,0,61,0.68,0.0
116,143,14,0,55,0.61,0.0
117,160,14,1,49,0.54,0.1
118,120,14,0,49,0.54,0.0
119,23,14,0,77,0.86,0.0
120,183,14,0,71,0.79,0.0
121,203,14,0,52,0.58,0.0
122,83,14,0,48,0.53,0.0
123,180,14,3,86,0.96,0.3
124,163,14,0,77,0.86,0.0
125,43,14,1,81,0.9,0.1
126,80,14,1,56,0.62,0.1
127,140,14,2,56,0.62,0.2
128,0,14,0,83,0.92,0.0
129,3,14,0,65,0.72,0.0
130,63,14,1,79,0.88,0.1
131,100,14,0,67,0.74,0.0
132,141,27,1,64,0.71,0.09
133,1,27,0,72,0.8,0.0
134,206,27,0,88,0.98,0.0
135,81,27,0,57,0.63,0.0
136,66,27,1,82,0.91,0.09
137,6,27,0,67,0.74,0.0
138,181,27,2,68,0.76,0.18
139,21,27,0,70,0.78,0.0
140,126,27,1,80,0.89,0.09
141,186,27,1,59,0.66,0.09
142,86,27,0,51,0.57,0.0
143,201,27,0,68,0.76,0.0
144,166,27,0,66,0.73,0.0
145,61,27,0,49,0.54,0.0
146,146,27,1,76,0.84,0.09
147,26,27,3,47,0.52,0.27
148,106,27,1,74,0.82,0.09
149,46,27,0,78,0.87,0.0
150,101,27,0,85,0.94,0.0
151,41,27,0,77,0.86,0.0
152,121,27,0,62,0.69,0.0
153,161,27,0,83,0.92,0.0
154,35,216,0,84,0.93,0.0
155,95,216,0,70,0.78,0.0
156,61,216,0,50,0.56,0.0
157,121,216,1,48,0.53,0.06
158,115,216,0,66,0.73,0.0
159,175,216,0,68,0.76,0.0
160,1,216,0,51,0.57,0.0
161,161,216,3,57,0.63,0.19
162,141,216,0,72,0.8,0.0
163,75,216,0,69,0.77,0.0
164,55,216,0,79,0.88,0.0
165,21,216,0,88,0.98,0.0
166,81,216,1,60,0.67,0.06
167,215,216,1,86,0.96,0.06
168,101,216,3,82,0.91,0.19
169,181,216,0,64,0.71,0.0
170,41,216,1,53,0.59,0.06
171,15,216,0,66,0.73,0.0
172,195,216,1,88,0.98,0.06
173,201,216,1,84,0.93,0.06
174,135,216,3,83,0.92,0.19
175,155,216,1,61,0.68,0.06
176,80,12,3,82,0.91,0.25
177,41,12,0,83,0.92,0.0
178,160,12,1,72,0.8,0.08
179,81,12,0,75,0.83,0.0
180,21,12,1,83,0.92,0.08
181,180,12,1,54,0.6,0.08
182,40,12,0,63,0.7,0.0
183,140,12,1,52,0.58,0.08
